,,Fecal Coliform
,,(#/100 mL)
Site,Date,Top
AC1,2016-07-14 00:00:00,2100
AC2,2016-07-14 00:00:00,1450
BR1,2016-07-14 00:00:00,3150
BR3,2016-07-14 00:00:00,312
E12,2016-07-14 00:00:00,31
E13,2016-07-14 00:00:00,2
HR03,2016-07-14 00:00:00,208
HR1,2016-07-14 00:00:00,9100
HR2,2016-07-14 00:00:00,270
WC1,2016-07-14 00:00:00,88
WC2,2016-07-14 00:00:00,580
WC3,2016-07-14 00:00:00,10
BB2,2016-07-13 00:00:00,810
BB4,2016-07-13 00:00:00,9
CIC2,2016-07-13 00:00:00,151000
CIC3,2016-07-13 00:00:00,6600
GB1,2016-07-13 00:00:00,40
GC3,2016-07-13 00:00:00,160
GC4,2016-07-13 00:00:00,120
GC5,2016-07-13 00:00:00,96
GC6,2016-07-13 00:00:00,112
J1,2016-07-13 00:00:00,4
J10,2016-07-13 00:00:00,2
J11,2016-07-13 00:00:00,4
J12,2016-07-13 00:00:00,6
J2,2016-07-13 00:00:00,6
J3,2016-07-13 00:00:00,8
J5,2016-07-13 00:00:00,5
J7,2016-07-13 00:00:00,25
J8,2016-07-13 00:00:00,25
J9A,2016-07-13 00:00:00,16
JA1,2016-07-13 00:00:00,8
N16,2016-07-13 00:00:00,6
N9,2016-07-13 00:00:00,11
N9A,2016-07-13 00:00:00,1
PB2,2016-07-13 00:00:00,15
PB3,2016-07-13 00:00:00,5
SP1,2016-07-13 00:00:00,68
SP2,2016-07-13 00:00:00,46
TB1,2016-07-13 00:00:00,18
TB2,2016-07-13 00:00:00,10
F1,2016-07-12 00:00:00,200
F5,2016-07-12 00:00:00,54
G2,2016-07-12 00:00:00,5
HC1,2016-07-12 00:00:00,78
HC2,2016-07-12 00:00:00,2
HC3,2016-07-12 00:00:00,28
J14,2016-07-12 00:00:00,1
J16,2016-07-12 00:00:00,2
K1,2016-07-12 00:00:00,4
K2,2016-07-12 00:00:00,4
K3,2016-07-12 00:00:00,20
K4,2016-07-12 00:00:00,15
K5,2016-07-12 00:00:00,2
K5A,2016-07-12 00:00:00,1
K6,2016-07-12 00:00:00,2
N6,2016-07-12 00:00:00,4
N7,2016-07-12 00:00:00,32
N8,2016-07-12 00:00:00,7
NC0,2016-07-12 00:00:00,640
NC1,2016-07-12 00:00:00,3000
NC2,2016-07-12 00:00:00,460
NC3,2016-07-12 00:00:00,308
BR5,2016-07-11 00:00:00,36
E10,2016-07-11 00:00:00,64
E11,2016-07-11 00:00:00,16
E14,2016-07-11 00:00:00,79
E15,2016-07-11 00:00:00,840
E2,2016-07-11 00:00:00,1800
E4,2016-07-11 00:00:00,128
E6,2016-07-11 00:00:00,156
E7,2016-07-11 00:00:00,219
E8,2016-07-11 00:00:00,132
FB1,2016-07-11 00:00:00,186
FLC1,2016-07-11 00:00:00,2700
FLC2,2016-07-11 00:00:00,1350
H3,2016-07-11 00:00:00,320
LN1,2016-07-11 00:00:00,1
N1,2016-07-11 00:00:00,173
N3B,2016-07-11 00:00:00,260
N4,2016-07-11 00:00:00,600
N5,2016-07-11 00:00:00,475
NR1,2016-07-11 00:00:00,116
AC1,2016-07-08 00:00:00,2900
AC2,2016-07-08 00:00:00,2300
BR1,2016-07-08 00:00:00,37000
BR3,2016-07-08 00:00:00,27000
BB2,2016-07-07 00:00:00,780
BB4,2016-07-07 00:00:00,27
CIC3,2016-07-07 00:00:00,720
F1,2016-07-07 00:00:00,850
F5,2016-07-07 00:00:00,420
GB1,2016-07-07 00:00:00,700
HC1,2016-07-07 00:00:00,970
HC2,2016-07-07 00:00:00,540
HC3,2016-07-07 00:00:00,340
J1,2016-07-07 00:00:00,128
J10,2016-07-07 00:00:00,25
J11,2016-07-07 00:00:00,192
J12,2016-07-07 00:00:00,58
J14,2016-07-07 00:00:00,14
J16,2016-07-07 00:00:00,4
J2,2016-07-07 00:00:00,96
J3,2016-07-07 00:00:00,47
J5,2016-07-07 00:00:00,15
J7,2016-07-07 00:00:00,176
J8,2016-07-07 00:00:00,112
J9A,2016-07-07 00:00:00,96
JA1,2016-07-07 00:00:00,330
N16,2016-07-07 00:00:00,92
N9,2016-07-07 00:00:00,100
N9A,2016-07-07 00:00:00,108
PB2,2016-07-07 00:00:00,28
PB3,2016-07-07 00:00:00,3
SP2,2016-07-07 00:00:00,3
TB1,2016-07-07 00:00:00,42
TB2,2016-07-07 00:00:00,11
CIC2,2016-07-06 00:00:00,3900
G2,2016-07-06 00:00:00,144
GC3,2016-07-06 00:00:00,45
GC4,2016-07-06 00:00:00,280
GC5,2016-07-06 00:00:00,270
GC6,2016-07-06 00:00:00,300
K1,2016-07-06 00:00:00,64
K2,2016-07-06 00:00:00,72
K3,2016-07-06 00:00:00,255
K4,2016-07-06 00:00:00,25
K5,2016-07-06 00:00:00,33
K5A,2016-07-06 00:00:00,50
K6,2016-07-06 00:00:00,69
N6,2016-07-06 00:00:00,35
N7,2016-07-06 00:00:00,84
N8,2016-07-06 00:00:00,42
NC0,2016-07-06 00:00:00,5200
NC1,2016-07-06 00:00:00,5900
NC2,2016-07-06 00:00:00,5400
NC3,2016-07-06 00:00:00,4000
SP1,2016-07-06 00:00:00,54
BR5,2016-07-05 00:00:00,2800
E10,2016-07-05 00:00:00,300
E11,2016-07-05 00:00:00,1100
E12,2016-07-05 00:00:00,480
E13,2016-07-05 00:00:00,400
E14,2016-07-05 00:00:00,1120
E15,2016-07-05 00:00:00,13600
E2,2016-07-05 00:00:00,2900
E4,2016-07-05 00:00:00,112
E6,2016-07-05 00:00:00,660
E7,2016-07-05 00:00:00,780
E8,2016-07-05 00:00:00,820
FB1,2016-07-05 00:00:00,8400
FLC1,2016-07-05 00:00:00,37000
FLC2,2016-07-05 00:00:00,41000
H3,2016-07-05 00:00:00,3700
HR03,2016-07-05 00:00:00,52000
HR1,2016-07-05 00:00:00,17000
HR2,2016-07-05 00:00:00,30000
LN1,2016-07-05 00:00:00,310
N1,2016-07-05 00:00:00,104
N3B,2016-07-05 00:00:00,112
N4,2016-07-05 00:00:00,560
N5,2016-07-05 00:00:00,84
NR1,2016-07-05 00:00:00,180
WC1,2016-07-05 00:00:00,200000
WC2,2016-07-05 00:00:00,200000
WC3,2016-07-05 00:00:00,8200
AC1,2016-06-30 00:00:00,2000
AC2,2016-06-30 00:00:00,2100
BR1,2016-06-30 00:00:00,2100
BR3,2016-06-30 00:00:00,2400
E12,2016-06-30 00:00:00,39
E13,2016-06-30 00:00:00,82
HR03,2016-06-30 00:00:00,570
HR1,2016-06-30 00:00:00,310
HR2,2016-06-30 00:00:00,600
WC1,2016-06-30 00:00:00,4000
WC2,2016-06-30 00:00:00,3800
WC3,2016-06-30 00:00:00,70
BB2,2016-06-29 00:00:00,51000
BB4,2016-06-29 00:00:00,35000
CIC2,2016-06-29 00:00:00,57000
CIC3,2016-06-29 00:00:00,6000
GB1,2016-06-29 00:00:00,156
GC3,2016-06-29 00:00:00,430
GC4,2016-06-29 00:00:00,500
GC5,2016-06-29 00:00:00,570
GC6,2016-06-29 00:00:00,3000
J1,2016-06-29 00:00:00,21
J10,2016-06-29 00:00:00,120
J11,2016-06-29 00:00:00,124
J12,2016-06-29 00:00:00,364
J2,2016-06-29 00:00:00,310
J3,2016-06-29 00:00:00,92
J5,2016-06-29 00:00:00,20
J7,2016-06-29 00:00:00,12400
J8,2016-06-29 00:00:00,590
J9A,2016-06-29 00:00:00,160
JA1,2016-06-29 00:00:00,2200
N16,2016-06-29 00:00:00,12
N9,2016-06-29 00:00:00,92
N9A,2016-06-29 00:00:00,20
PB2,2016-06-29 00:00:00,112
PB3,2016-06-29 00:00:00,920
SP1,2016-06-29 00:00:00,430
SP2,2016-06-29 00:00:00,600
TB1,2016-06-29 00:00:00,440
TB2,2016-06-29 00:00:00,61
F1,2016-06-28 00:00:00,5900
F5,2016-06-28 00:00:00,2300
G2,2016-06-28 00:00:00,20000
HC1,2016-06-28 00:00:00,10
HC2,2016-06-28 00:00:00,10
HC3,2016-06-28 00:00:00,99
J14,2016-06-28 00:00:00,4
J16,2016-06-28 00:00:00,4
K1,2016-06-28 00:00:00,156
K2,2016-06-28 00:00:00,92
K3,2016-06-28 00:00:00,8400
K4,2016-06-28 00:00:00,204
K5,2016-06-28 00:00:00,50
K5A,2016-06-28 00:00:00,47
K6,2016-06-28 00:00:00,4
N6,2016-06-28 00:00:00,132
N7,2016-06-28 00:00:00,860
N8,2016-06-28 00:00:00,470
NC0,2016-06-28 00:00:00,200000
NC1,2016-06-28 00:00:00,41000
NC2,2016-06-28 00:00:00,59000
NC3,2016-06-28 00:00:00,57000
BR5,2016-06-27 00:00:00,42
E10,2016-06-27 00:00:00,2
E11,2016-06-27 00:00:00,5
E14,2016-06-27 00:00:00,4
E15,2016-06-27 00:00:00,14
E2,2016-06-27 00:00:00,7
E4,2016-06-27 00:00:00,6
E6,2016-06-27 00:00:00,184
E7,2016-06-27 00:00:00,3
E8,2016-06-27 00:00:00,2
FB1,2016-06-27 00:00:00,17
FLC1,2016-06-27 00:00:00,290
FLC2,2016-06-27 00:00:00,480
H3,2016-06-27 00:00:00,9
LN1,2016-06-27 00:00:00,10
N1,2016-06-27 00:00:00,1
N3B,2016-06-27 00:00:00,2
N4,2016-06-27 00:00:00,5
N5,2016-06-27 00:00:00,1
NR1,2016-06-27 00:00:00,2
CIC2,2016-06-23 00:00:00,18800
E12,2016-06-23 00:00:00,36
E13,2016-06-23 00:00:00,9
GC3,2016-06-23 00:00:00,19
GC4,2016-06-23 00:00:00,15
GC5,2016-06-23 00:00:00,23
GC6,2016-06-23 00:00:00,54
HR03,2016-06-23 00:00:00,240
HR1,2016-06-23 00:00:00,3600
HR2,2016-06-23 00:00:00,183
SP1,2016-06-23 00:00:00,8
WC1,2016-06-23 00:00:00,78
WC2,2016-06-23 00:00:00,60
WC3,2016-06-23 00:00:00,8
AC1,2016-06-22 00:00:00,3400
AC2,2016-06-22 00:00:00,4400
BB2,2016-06-22 00:00:00,99
BB4,2016-06-22 00:00:00,27
BR1,2016-06-22 00:00:00,2450
BR3,2016-06-22 00:00:00,34
CIC3,2016-06-22 00:00:00,117
GB1,2016-06-22 00:00:00,1
J1,2016-06-22 00:00:00,1
J10,2016-06-22 00:00:00,7
J11,2016-06-22 00:00:00,23
